ORIGEM,DESTINO,CUSTO_AGREGADO,CUSTO_FROTA,MELHOR_CUSTO,VENCEDOR
Guarujá/SP,PARAUAPEBAS/PA,29635.418321040004,38864.83,29635.418321040004,AGREGADO
Guarujá/SP,PARNAIBA/PI,36342.52123071361,47900.78,36342.52123071361,AGREGADO
Guarujá/SP,PASSOS/MG,6237.4608071328,7839.26,6237.4608071328,AGREGADO
Guarujá/SP,PATROCINIO/MG,9623.891735184,11864.38,9623.891735184,AGREGADO
Guarujá/SP,PAU DOS FERROS/RN,31179.343356134403,42316.590000000004,31179.343356134403,AGREGADO
Guarujá/SP,PAULISTA/PE,31592.47459854721,43052.97,31592.47459854721,AGREGADO
Guarujá/SP,PAULO AFONSO/BA,26511.403926576008,36287.52,26511.403926576008,AGREGADO
Guarujá/SP,PELOTAS/RS,16320.146473488001,22419.1,16320.146473488001,AGREGADO
Guarujá/SP,PETROLINA/PE,26876.661349929607,36671.05,26876.661349929607,AGREGADO
Guarujá/SP,PETROPOLIS/RJ,6652.4385468,8360.64,6652.4385468,AGREGADO
Guarujá/SP,PICOS/PI,31230.589284508806,41687.61,31230.589284508806,AGREGADO
Guarujá/SP,PINHEIRO/MA,35354.6508291744,15392.85,15392.85,FROTA
Guarujá/SP,PIRATINI/RS,17335.1401182336,23707.760000000002,17335.1401182336,AGREGADO
Guarujá/SP,POCOS DE CALDAS/MG,4832.583475148801,5194.28,4832.583475148801,AGREGADO
Guarujá/SP,POMBAL/PB,31127.28114086401,42239.89,31127.28114086401,AGREGADO
Guarujá/SP,PONTA PORA/MS,14292.844486406404,19565.65,14292.844486406404,AGREGADO
Guarujá/SP,PONTE NOVA/MG,10698.7107650592,12478.03,10698.7107650592,AGREGADO
Guarujá/SP,PONTE SERRADA/SC,9793.5893365152,13337.130000000001,9793.5893365152,AGREGADO
Guarujá/SP,PORTEIRINHA/MG,14952.708294873602,20332.7,14952.708294873602,AGREGADO
Guarujá/SP,PORTO NACIONAL/TO,21510.464479968003,29169.22,21510.464479968003,AGREGADO
Guarujá/SP,PORTO SEGURO/BA,18591.0509885952,25287.899999999998,18591.0509885952,AGREGADO
Guarujá/SP,PORTO VELHO/RO,36313.16867984641,50462.76,36313.16867984641,AGREGADO
Guarujá/SP,POSSE/GO,16410.804985027204,21928.190000000002,16410.804985027204,AGREGADO
Guarujá/SP,PRESIDENTE KENNEDY/TO,23991.869682076805,14671.81,14671.81,FROTA
Guarujá/SP,PRIMAVERA DO LESTE/MT,19663.719524716806,24352.09,19663.719524716806,AGREGADO
Guarujá/SP,QUERENCIA/MT,22311.7767336,27527.71,22311.7767336,AGREGADO
Guarujá/SP,QUIRINOPOLIS/GO,11884.1000771712,15208.75,11884.1000771712,AGREGADO
Guarujá/SP,QUIXADA/CE,33377.8854453024,48529.77,33377.8854453024,AGREGADO
Guarujá/SP,RECIFE/PE,31411.444683273607,42669.45,31411.444683273607,AGREGADO
Guarujá/SP,REDENCAO/PA,26127.625235030406,34461.92,26127.625235030406,AGREGADO
Guarujá/SP,RERIUTABA/CE,36466.9064649696,47824.08,36466.9064649696,AGREGADO
Guarujá/SP,RIACHAO DO JACUIPE/BA,23328.200287804804,31224.940000000002,23328.200287804804,AGREGADO
Guarujá/SP,RIALMA/GO,14815.3694320128,18783.25,14815.3694320128,AGREGADO
Guarujá/SP,RIBEIRAO PRETO/SP,5630.4983117824,5774.68,5630.4983117824,AGREGADO
Guarujá/SP,RIO BRANCO/AC,42779.82161778241,55525.350000000006,42779.82161778241,AGREGADO
Guarujá/SP,RIO DAS OSTRAS/RJ,8180.6176891488,9728.02,8180.6176891488,AGREGADO
